DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Protein presence (refined)
COLOR	#000000
STRIP_WIDTH	30
MARGIN	10
BORDER_WIDTH	0
LEGEND_TITLE	Architectural ortholog
LEGEND_SHAPES	1	1	1
LEGEND_COLORS	#2ca02c	#ff7f0e	#d62728
LEGEND_LABELS	Present	Possible (truncated)	Absent
DATA
GB_GCA_038251205.1	#2ca02c	Present (high-confidence)
GB_GCA_015257505.1	#d62728	Absent
GB_GCA_017514905.1	#d62728	Absent
GB_GCA_039738635.1	#d62728	Absent
GB_GCA_049291395.1	#2ca02c	Present (high-confidence)
GB_GCA_035536395.1	#2ca02c	Present (high-confidence)
GB_GCA_002427805.1	#2ca02c	Present (high-confidence)
GB_GCA_963797185.1	#d62728	Absent
GB_GCA_017519305.1	#d62728	Absent
GB_GCA_002726935.1	#2ca02c	Present (high-confidence)
GB_GCA_017941835.1	#d62728	Absent
GB_GCA_030156575.1	#2ca02c	Present (high-confidence)
GB_GCA_964644965.1	#2ca02c	Present (high-confidence)
GB_GCA_038064875.1	#2ca02c	Present (high-confidence)
GB_GCA_045637565.1	#d62728	Absent
GB_GCA_964520495.1	#2ca02c	Present (high-confidence)
GB_GCA_964425975.1	#2ca02c	Present (high-confidence)
GB_GCA_938039175.1	#d62728	Absent
GB_GCA_032154105.1	#2ca02c	Present (high-confidence)
GB_GCA_021806285.1	#2ca02c	Present (high-confidence)
GB_GCA_031257295.1	#d62728	Absent
GB_GCA_937990685.1	#d62728	Absent
GB_GCA_965241395.1	#d62728	Absent
GB_GCA_050730895.1	#2ca02c	Present (high-confidence)
GB_GCA_030917805.1	#d62728	Absent
GB_GCA_035758565.1	#d62728	Absent
GB_GCA_017480095.1	#d62728	Absent
GB_GCA_964550035.1	#2ca02c	Present (high-confidence)
GB_GCA_964494765.1	#2ca02c	Present (high-confidence)
GB_GCA_035510315.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_964393455.1	#2ca02c	Present (high-confidence)
GB_GCA_964536485.1	#2ca02c	Present (high-confidence)
GB_GCA_964493895.1	#2ca02c	Present (high-confidence)
GB_GCA_963518125.1	#2ca02c	Present (high-confidence)
GB_GCA_963549225.1	#2ca02c	Present (high-confidence)
GB_GCA_937921475.1	#2ca02c	Present (high-confidence)
GB_GCA_964391615.1	#2ca02c	Present (high-confidence)
GB_GCA_018064165.1	#d62728	Absent
GB_GCA_027314885.1	#2ca02c	Present (high-confidence)
GB_GCA_015257635.1	#2ca02c	Present (high-confidence)
GB_GCA_963519005.1	#2ca02c	Present (high-confidence)
GB_GCA_050011495.1	#d62728	Absent
RS_GCF_030253535.1	#2ca02c	Present (high-confidence)
GB_GCA_036848695.1	#2ca02c	Present (high-confidence)
GB_GCA_964553355.1	#2ca02c	Present (high-confidence)
GB_GCA_028288995.1	#2ca02c	Present (high-confidence)
GB_GCA_036745415.1	#2ca02c	Present (high-confidence)
GB_GCA_938036625.1	#2ca02c	Present (high-confidence)
GB_GCA_938030585.1	#d62728	Absent
GB_GCA_963835055.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_964421475.1	#2ca02c	Present (high-confidence)
GB_GCA_938018015.1	#d62728	Absent
GB_GCA_963529085.1	#d62728	Absent
GB_GCA_963539465.1	#d62728	Absent
GB_GCA_039935755.1	#d62728	Absent
GB_GCA_948944455.1	#d62728	Absent
GB_GCA_964409615.1	#2ca02c	Present (high-confidence)
GB_GCA_035700225.1	#2ca02c	Present (high-confidence)
GB_GCA_030527585.1	#d62728	Absent
GB_GCA_010027485.1	#d62728	Absent
GB_GCA_025451045.1	#2ca02c	Present (high-confidence)
GB_GCA_963536065.1	#2ca02c	Present (high-confidence)
GB_GCA_944391325.1	#d62728	Absent
GB_GCA_903970425.1	#d62728	Absent
GB_GCA_035568355.1	#d62728	Absent
GB_GCA_963540965.1	#d62728	Absent
GB_GCA_963805865.1	#d62728	Absent
GB_GCA_947306315.1	#d62728	Absent
GB_GCA_002335175.1	#2ca02c	Present (high-confidence)
GB_GCA_963717595.1	#d62728	Absent
GB_GCA_963553945.1	#d62728	Absent
GB_GCA_027371825.1	#d62728	Absent
GB_GCA_938017625.1	#d62728	Absent
GB_GCA_964436805.1	#2ca02c	Present (high-confidence)
GB_GCA_013333375.2	#d62728	Absent
GB_GCA_049661485.1	#2ca02c	Present (high-confidence)
GB_GCA_002309075.1	#d62728	Absent
GB_GCA_964618945.1	#2ca02c	Present (high-confidence)
GB_GCA_964554485.1	#2ca02c	Present (high-confidence)
GB_GCA_964415975.1	#d62728	Absent
GB_GCA_963747455.1	#2ca02c	Present (high-confidence)
GB_GCA_036524895.1	#d62728	Absent
GB_GCA_038216175.1	#2ca02c	Present (high-confidence)
GB_GCA_035534895.1	#2ca02c	Present (high-confidence)
GB_GCA_964516075.1	#d62728	Absent
GB_GCA_947087275.1	#d62728	Absent
GB_GCA_018061375.1	#2ca02c	Present (high-confidence)
GB_GCA_964588575.1	#2ca02c	Present (high-confidence)
GB_GCA_964513425.1	#d62728	Absent
GB_GCA_937989565.1	#2ca02c	Present (high-confidence)
GB_GCA_013289705.1	#2ca02c	Present (high-confidence)
GB_GCA_045546095.1	#d62728	Absent
GB_GCA_017992395.1	#d62728	Absent
GB_GCA_035478295.1	#2ca02c	Present (high-confidence)
GB_GCA_045604085.1	#d62728	Absent
GB_GCA_036788915.1	#2ca02c	Present (high-confidence)
GB_GCA_039809125.1	#2ca02c	Present (high-confidence)
GB_GCA_017513905.1	#d62728	Absent
GB_GCA_963542185.1	#d62728	Absent
GB_GCA_964368785.1	#2ca02c	Present (high-confidence)
GB_GCA_017964025.1	#d62728	Absent
GB_GCA_010014525.1	#d62728	Absent
GB_GCA_947085855.1	#2ca02c	Present (high-confidence)
GB_GCA_938045445.1	#2ca02c	Present (high-confidence)
GB_GCA_001897305.1	#2ca02c	Present (high-confidence)
GB_GCA_050730855.1	#2ca02c	Present (high-confidence)
GB_GCA_017404245.1	#d62728	Absent
GB_GCA_963549285.1	#d62728	Absent
GB_GCA_035629335.1	#2ca02c	Present (high-confidence)
GB_GCA_964552555.1	#2ca02c	Present (high-confidence)
GB_GCA_915070155.1	#2ca02c	Present (high-confidence)
GB_GCA_963514625.1	#d62728	Absent
GB_GCA_017983775.1	#d62728	Absent
GB_GCA_038255465.1	#2ca02c	Present (high-confidence)
GB_GCA_963525915.1	#2ca02c	Present (high-confidence)
GB_GCA_035510795.1	#d62728	Absent
GB_GCA_964386855.1	#d62728	Absent
GB_GCA_041912375.1	#2ca02c	Present (high-confidence)
GB_GCA_035481015.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_947306585.1	#d62728	Absent
GB_GCA_027327085.1	#d62728	Absent
GB_GCA_938041355.1	#d62728	Absent
GB_GCA_041907345.1	#d62728	Absent
GB_GCA_017993025.1	#2ca02c	Present (high-confidence)
GB_GCA_964478595.1	#2ca02c	Present (high-confidence)
GB_GCA_964572775.1	#2ca02c	Present (high-confidence)
GB_GCA_964404945.1	#d62728	Absent
GB_GCA_964544805.1	#2ca02c	Present (high-confidence)
GB_GCA_946538495.1	#d62728	Absent
GB_GCA_964388705.1	#2ca02c	Present (high-confidence)
GB_GCA_964454845.1	#d62728	Absent
GB_GCA_043776675.1	#2ca02c	Present (high-confidence)
GB_GCA_050258575.1	#2ca02c	Present (high-confidence)
GB_GCA_900556355.1	#2ca02c	Present (high-confidence)
GB_GCA_947427985.1	#d62728	Absent
GB_GCA_023257815.1	#2ca02c	Present (high-confidence)
GB_GCA_035479935.1	#2ca02c	Present (high-confidence)
GB_GCA_948514425.1	#d62728	Absent
GB_GCA_964523935.1	#2ca02c	Present (high-confidence)
GB_GCA_041752595.1	#2ca02c	Present (high-confidence)
GB_GCA_045629825.1	#d62728	Absent
GB_GCA_964507855.1	#2ca02c	Present (high-confidence)
GB_GCA_001873625.1	#d62728	Absent
GB_GCA_021781475.1	#2ca02c	Present (high-confidence)
GB_GCA_016700375.1	#2ca02c	Present (high-confidence)
GB_GCA_938017895.1	#d62728	Absent
GB_GCA_964469755.1	#2ca02c	Present (high-confidence)
GB_GCA_017515105.1	#d62728	Absent
GB_GCA_028288965.1	#2ca02c	Present (high-confidence)
GB_GCA_034520885.1	#2ca02c	Present (high-confidence)
GB_GCA_041743525.1	#2ca02c	Present (high-confidence)
GB_GCA_900556885.1	#2ca02c	Present (high-confidence)
GB_GCA_038244255.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_947304335.1	#d62728	Absent
GB_GCA_966685145.1	#2ca02c	Present (high-confidence)
GB_GCA_035710125.1	#2ca02c	Present (high-confidence)
GB_GCA_030917065.1	#d62728	Absent
GB_GCA_031264785.1	#d62728	Absent
GB_GCA_964503305.1	#d62728	Absent
GB_GCA_036489905.1	#2ca02c	Present (high-confidence)
GB_GCA_035508275.1	#2ca02c	Present (high-confidence)
GB_GCA_937927395.1	#d62728	Absent
GB_GCA_035317825.1	#2ca02c	Present (high-confidence)
GB_GCA_014377525.1	#2ca02c	Present (high-confidence)
GB_GCA_029288425.1	#2ca02c	Present (high-confidence)
GB_GCA_044234435.1	#2ca02c	Present (high-confidence)
GB_GCA_964595295.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_020631935.1	#2ca02c	Present (high-confidence)
GB_GCA_964427685.1	#2ca02c	Present (high-confidence)
GB_GCA_035758575.1	#2ca02c	Present (high-confidence)
GB_GCA_963524295.1	#2ca02c	Present (high-confidence)
GB_GCA_017545505.1	#d62728	Absent
GB_GCA_028289045.1	#2ca02c	Present (high-confidence)
GB_GCA_035542755.1	#d62728	Absent
GB_GCA_017460045.1	#d62728	Absent
GB_GCA_025934715.1	#2ca02c	Present (high-confidence)
GB_GCA_012270305.1	#2ca02c	Present (high-confidence)
GB_GCA_016280905.1	#d62728	Absent
GB_GCA_017545585.1	#d62728	Absent
GB_GCA_036405235.1	#2ca02c	Present (high-confidence)
GB_GCA_903891235.1	#2ca02c	Present (high-confidence)
GB_GCA_964465135.1	#d62728	Absent
GB_GCA_017512045.1	#d62728	Absent
GB_GCA_937922985.1	#d62728	Absent
GB_GCA_963529005.1	#2ca02c	Present (high-confidence)
GB_GCA_964535835.1	#2ca02c	Present (high-confidence)
GB_GCA_964504275.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_017537745.1	#d62728	Absent
GB_GCA_964625885.1	#d62728	Absent
GB_GCA_023257145.1	#2ca02c	Present (high-confidence)
GB_GCA_040900025.1	#2ca02c	Present (high-confidence)
GB_GCA_943355165.1	#d62728	Absent
GB_GCA_964585675.1	#2ca02c	Present (high-confidence)
GB_GCA_964630055.1	#2ca02c	Present (high-confidence)
GB_GCA_043737735.1	#2ca02c	Present (high-confidence)
GB_GCA_964395925.1	#2ca02c	Present (high-confidence)
GB_GCA_039920285.1	#2ca02c	Present (high-confidence)
GB_GCA_031287975.1	#d62728	Absent
GB_GCA_938036615.1	#d62728	Absent
GB_GCA_965231085.1	#d62728	Absent
GB_GCA_041743505.1	#2ca02c	Present (high-confidence)
GB_GCA_045587885.1	#d62728	Absent
GB_GCA_964469435.1	#2ca02c	Present (high-confidence)
GB_GCA_949070545.1	#d62728	Absent
GB_GCA_964483005.1	#2ca02c	Present (high-confidence)
GB_GCA_002348605.1	#2ca02c	Present (high-confidence)
GB_GCA_937988795.1	#2ca02c	Present (high-confidence)
GB_GCA_035479175.1	#2ca02c	Present (high-confidence)
GB_GCA_964610985.1	#2ca02c	Present (high-confidence)
GB_GCA_964602775.1	#2ca02c	Present (high-confidence)
GB_GCA_017514805.1	#d62728	Absent
GB_GCA_963516005.1	#d62728	Absent
GB_GCA_017430725.1	#d62728	Absent
GB_GCA_964487875.1	#2ca02c	Present (high-confidence)
GB_GCA_964357905.1	#2ca02c	Present (high-confidence)
GB_GCA_963807025.1	#d62728	Absent
GB_GCA_017514045.1	#d62728	Absent
GB_GCA_009781895.1	#d62728	Absent
GB_GCA_963514965.1	#2ca02c	Present (high-confidence)
GB_GCA_002434045.1	#2ca02c	Present (high-confidence)
GB_GCA_964346445.1	#d62728	Absent
GB_GCA_965231045.1	#2ca02c	Present (high-confidence)
GB_GCA_966247155.1	#2ca02c	Present (high-confidence)
GB_GCA_947570505.1	#d62728	Absent
GB_GCA_964554245.1	#2ca02c	Present (high-confidence)
GB_GCA_013694995.1	#2ca02c	Present (high-confidence)
GB_GCA_038238095.1	#2ca02c	Present (high-confidence)
GB_GCA_964408165.1	#2ca02c	Present (high-confidence)
GB_GCA_964604985.1	#2ca02c	Present (high-confidence)
GB_GCA_023898625.1	#2ca02c	Present (high-confidence)
GB_GCA_016234585.1	#2ca02c	Present (high-confidence)
GB_GCA_963539185.1	#d62728	Absent
GB_GCA_026397045.1	#d62728	Absent
GB_GCA_021833065.1	#d62728	Absent
GB_GCA_045632725.1	#d62728	Absent
GB_GCA_017652715.1	#d62728	Absent
GB_GCA_007132685.1	#2ca02c	Present (high-confidence)
GB_GCA_003545655.1	#d62728	Absent
GB_GCA_017557865.1	#d62728	Absent
GB_GCA_938044085.1	#d62728	Absent
GB_GCA_040384565.1	#2ca02c	Present (high-confidence)
GB_GCA_035479655.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_035478835.1	#2ca02c	Present (high-confidence)
GB_GCA_030151825.1	#2ca02c	Present (high-confidence)
GB_GCA_035694865.1	#2ca02c	Present (high-confidence)
GB_GCA_016880595.1	#2ca02c	Present (high-confidence)
GB_GCA_965649685.1	#2ca02c	Present (high-confidence)
GB_GCA_002429245.1	#2ca02c	Present (high-confidence)
GB_GCA_947307445.1	#d62728	Absent
GB_GCA_964624785.1	#2ca02c	Present (high-confidence)
GB_GCA_013332965.2	#d62728	Absent
GB_GCA_023432475.1	#2ca02c	Present (high-confidence)
GB_GCA_035760845.1	#2ca02c	Present (high-confidence)
GB_GCA_963532195.1	#d62728	Absent
GB_GCA_963721475.1	#2ca02c	Present (high-confidence)
GB_GCA_964599775.1	#2ca02c	Present (high-confidence)
GB_GCA_049521895.1	#d62728	Absent
GB_GCA_041617975.1	#2ca02c	Present (high-confidence)
GB_GCA_017613135.1	#d62728	Absent
GB_GCA_034521515.1	#2ca02c	Present (high-confidence)
GB_GCA_964600185.1	#2ca02c	Present (high-confidence)
GB_GCA_964476395.1	#d62728	Absent
GB_GCA_947302765.1	#d62728	Absent
GB_GCA_963524145.1	#2ca02c	Present (high-confidence)
GB_GCA_964616255.1	#d62728	Absent
GB_GCA_963706245.1	#2ca02c	Present (high-confidence)
GB_GCA_035280785.1	#2ca02c	Present (high-confidence)
GB_GCA_017510075.1	#d62728	Absent
GB_GCA_045578285.1	#d62728	Absent
GB_GCA_035479135.1	#2ca02c	Present (high-confidence)
GB_GCA_963525085.1	#2ca02c	Present (high-confidence)
GB_GCA_964608555.1	#d62728	Absent
GB_GCA_963542585.1	#d62728	Absent
GB_GCA_027340655.1	#2ca02c	Present (high-confidence)
GB_GCA_023259925.1	#2ca02c	Present (high-confidence)
GB_GCA_030426125.1	#2ca02c	Present (high-confidence)
GB_GCA_964535275.1	#2ca02c	Present (high-confidence)
GB_GCA_963526325.1	#2ca02c	Present (high-confidence)
GB_GCA_002315165.1	#d62728	Absent
GB_GCA_035649555.1	#2ca02c	Present (high-confidence)
GB_GCA_036397795.1	#2ca02c	Present (high-confidence)
GB_GCA_964502645.1	#2ca02c	Present (high-confidence)
GB_GCA_964570005.1	#2ca02c	Present (high-confidence)
GB_GCA_050486305.1	#2ca02c	Present (high-confidence)
GB_GCA_963541875.1	#2ca02c	Present (high-confidence)
GB_GCA_948648655.1	#d62728	Absent
GB_GCA_035486285.1	#d62728	Absent
GB_GCA_002337095.1	#2ca02c	Present (high-confidence)
GB_GCA_964537115.1	#2ca02c	Present (high-confidence)
GB_GCA_029237755.1	#2ca02c	Present (high-confidence)
GB_GCA_039935435.1	#2ca02c	Present (high-confidence)
GB_GCA_964397085.1	#2ca02c	Present (high-confidence)
GB_GCA_963520835.1	#d62728	Absent
GB_GCA_947165465.1	#d62728	Absent
GB_GCA_021804315.1	#d62728	Absent
GB_GCA_037134295.1	#d62728	Absent
GB_GCA_964492785.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_937924995.1	#d62728	Absent
GB_GCA_045636645.1	#d62728	Absent
GB_GCA_009783235.1	#d62728	Absent
GB_GCA_037139495.1	#2ca02c	Present (high-confidence)
GB_GCA_964383465.1	#2ca02c	Present (high-confidence)
GB_GCA_947168825.1	#d62728	Absent
GB_GCA_017460105.1	#d62728	Absent
GB_GCA_035479715.1	#2ca02c	Present (high-confidence)
GB_GCA_964494105.1	#d62728	Absent
GB_GCA_964407205.1	#d62728	Absent
GB_GCA_038061635.1	#2ca02c	Present (high-confidence)
GB_GCA_964647765.1	#2ca02c	Present (high-confidence)
GB_GCA_035478375.1	#2ca02c	Present (high-confidence)
GB_GCA_017460065.1	#d62728	Absent
GB_GCA_964393835.1	#2ca02c	Present (high-confidence)
GB_GCA_030699245.1	#d62728	Absent
GB_GCA_018062785.1	#2ca02c	Present (high-confidence)
GB_GCA_964532185.1	#d62728	Absent
GB_GCA_963549275.1	#2ca02c	Present (high-confidence)
GB_GCA_963521995.1	#2ca02c	Present (high-confidence)
GB_GCA_017404515.1	#d62728	Absent
GB_GCA_964426315.1	#2ca02c	Present (high-confidence)
GB_GCA_035704495.1	#2ca02c	Present (high-confidence)
GB_GCA_964415715.1	#d62728	Absent
GB_GCA_041743655.1	#2ca02c	Present (high-confidence)
GB_GCA_965246075.1	#2ca02c	Present (high-confidence)
GB_GCA_035309745.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_045640685.1	#d62728	Absent
GB_GCA_027448765.1	#2ca02c	Present (high-confidence)
GB_GCA_020428565.1	#d62728	Absent
GB_GCA_964432725.1	#2ca02c	Present (high-confidence)
GB_GCA_036826375.1	#d62728	Absent
GB_GCA_045541995.1	#d62728	Absent
GB_GCA_964540115.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_965231105.1	#2ca02c	Present (high-confidence)
GB_GCA_964636115.1	#d62728	Absent
GB_GCA_963538815.1	#2ca02c	Present (high-confidence)
GB_GCA_017432365.1	#d62728	Absent
GB_GCA_038237095.1	#2ca02c	Present (high-confidence)
GB_GCA_964487615.1	#2ca02c	Present (high-confidence)
GB_GCA_946415265.1	#d62728	Absent
GB_GCA_964345645.1	#d62728	Absent
GB_GCA_964552475.1	#2ca02c	Present (high-confidence)
GB_GCA_009691555.1	#d62728	Absent
GB_GCA_963740635.1	#2ca02c	Present (high-confidence)
GB_GCA_002316545.1	#2ca02c	Present (high-confidence)
GB_GCA_963834265.1	#2ca02c	Present (high-confidence)
GB_GCA_964581535.1	#2ca02c	Present (high-confidence)
GB_GCA_030531645.1	#d62728	Absent
GB_GCA_002336735.1	#2ca02c	Present (high-confidence)
GB_GCA_021851735.1	#2ca02c	Present (high-confidence)
GB_GCA_963518445.1	#2ca02c	Present (high-confidence)
GB_GCA_963515485.1	#d62728	Absent
RS_GCF_000803625.1	#2ca02c	Present (high-confidence)
GB_GCA_963532885.1	#2ca02c	Present (high-confidence)
GB_GCA_963526655.1	#2ca02c	Present (high-confidence)
GB_GCA_964450025.1	#2ca02c	Present (high-confidence)
GB_GCA_017404685.1	#d62728	Absent
GB_GCA_964622235.1	#2ca02c	Present (high-confidence)
GB_GCA_963553745.1	#d62728	Absent
GB_GCA_017431465.1	#d62728	Absent
GB_GCA_046350735.1	#2ca02c	Present (high-confidence)
GB_GCA_038316195.1	#2ca02c	Present (high-confidence)
GB_GCA_028286345.1	#2ca02c	Present (high-confidence)
GB_GCA_024635495.1	#2ca02c	Present (high-confidence)
GB_GCA_001790515.1	#2ca02c	Present (high-confidence)
GB_GCA_036734565.1	#2ca02c	Present (high-confidence)
GB_GCA_964423475.1	#2ca02c	Present (high-confidence)
GB_GCA_049292975.1	#2ca02c	Present (high-confidence)
GB_GCA_028289265.1	#2ca02c	Present (high-confidence)
GB_GCA_035443865.1	#2ca02c	Present (high-confidence)
GB_GCA_965240845.1	#d62728	Absent
GB_GCA_030271625.1	#2ca02c	Present (high-confidence)
GB_GCA_963514865.1	#d62728	Absent
GB_GCA_013100825.1	#2ca02c	Present (high-confidence)
GB_GCA_035493555.1	#2ca02c	Present (high-confidence)
GB_GCA_017479205.1	#d62728	Absent
GB_GCA_964520375.1	#2ca02c	Present (high-confidence)
GB_GCA_964602865.1	#2ca02c	Present (high-confidence)
GB_GCA_002415345.1	#2ca02c	Present (high-confidence)
GB_GCA_024402895.1	#d62728	Absent
GB_GCA_039930145.1	#2ca02c	Present (high-confidence)
GB_GCA_938043965.1	#d62728	Absent
GB_GCA_963530135.1	#2ca02c	Present (high-confidence)
GB_GCA_041600715.1	#2ca02c	Present (high-confidence)
GB_GCA_036278875.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_020427985.1	#2ca02c	Present (high-confidence)
GB_GCA_964442995.1	#2ca02c	Present (high-confidence)
GB_GCA_964432055.1	#2ca02c	Present (high-confidence)
GB_GCA_964615565.1	#2ca02c	Present (high-confidence)
GB_GCA_021846795.1	#d62728	Absent
GB_GCA_964446365.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_964516285.1	#2ca02c	Present (high-confidence)
GB_GCA_964348695.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_016789455.1	#2ca02c	Present (high-confidence)
GB_GCA_938033875.1	#2ca02c	Present (high-confidence)
GB_GCA_938030095.1	#2ca02c	Present (high-confidence)
GB_GCA_036276195.1	#2ca02c	Present (high-confidence)
GB_GCA_938028655.1	#d62728	Absent
GB_GCA_903900345.1	#d62728	Absent
GB_GCA_017420185.1	#d62728	Absent
GB_GCA_046350615.1	#2ca02c	Present (high-confidence)
GB_GCA_963535375.1	#2ca02c	Present (high-confidence)
GB_GCA_964477195.1	#2ca02c	Present (high-confidence)
GB_GCA_017514125.1	#d62728	Absent
RS_GCF_022819385.1	#2ca02c	Present (high-confidence)
GB_GCA_005697215.1	#2ca02c	Present (high-confidence)
GB_GCA_017404335.1	#d62728	Absent
GB_GCA_947303945.1	#d62728	Absent
GB_GCA_035538835.1	#2ca02c	Present (high-confidence)
GB_GCA_035480035.1	#2ca02c	Present (high-confidence)
GB_GCA_964499245.1	#d62728	Absent
GB_GCA_013316435.1	#d62728	Absent
GB_GCA_938039235.1	#d62728	Absent
GB_GCA_029549845.1	#d62728	Absent
GB_GCA_964404795.1	#2ca02c	Present (high-confidence)
GB_GCA_964405095.1	#2ca02c	Present (high-confidence)
GB_GCA_013334475.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_038251135.1	#2ca02c	Present (high-confidence)
GB_GCA_035489575.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_905372835.1	#2ca02c	Present (high-confidence)
GB_GCA_963721685.1	#2ca02c	Present (high-confidence)
GB_GCA_947166295.1	#d62728	Absent
GB_GCA_021799575.1	#d62728	Absent
GB_GCA_009783305.1	#d62728	Absent
GB_GCA_017515285.1	#d62728	Absent
GB_GCA_035545555.1	#2ca02c	Present (high-confidence)
GB_GCA_023268595.1	#2ca02c	Present (high-confidence)
GB_GCA_963522845.1	#d62728	Absent
GB_GCA_031275815.1	#d62728	Absent
GB_GCA_964615445.1	#2ca02c	Present (high-confidence)
GB_GCA_035946175.1	#2ca02c	Present (high-confidence)
GB_GCA_963548315.1	#2ca02c	Present (high-confidence)
GB_GCA_020427905.1	#2ca02c	Present (high-confidence)
GB_GCA_017432425.1	#d62728	Absent
GB_GCA_964600285.1	#d62728	Absent
GB_GCA_963546555.1	#d62728	Absent
GB_GCA_017992295.1	#2ca02c	Present (high-confidence)
GB_GCA_963555045.1	#2ca02c	Present (high-confidence)
GB_GCA_964560175.1	#2ca02c	Present (high-confidence)
GB_GCA_036373975.1	#2ca02c	Present (high-confidence)
GB_GCA_035247965.1	#2ca02c	Present (high-confidence)
GB_GCA_049293335.1	#d62728	Absent
GB_GCA_963523995.1	#2ca02c	Present (high-confidence)
GB_GCA_964388795.1	#2ca02c	Present (high-confidence)
RS_GCF_005697565.1	#2ca02c	Present (high-confidence)
GB_GCA_964494415.1	#d62728	Absent
GB_GCA_038064135.1	#2ca02c	Present (high-confidence)
GB_GCA_964462335.1	#2ca02c	Present (high-confidence)
GB_GCA_947302125.1	#d62728	Absent
GB_GCA_964505035.1	#2ca02c	Present (high-confidence)
GB_GCA_030917245.1	#d62728	Absent
GB_GCA_017964115.1	#d62728	Absent
GB_GCA_964568745.1	#d62728	Absent
GB_GCA_964503715.1	#2ca02c	Present (high-confidence)
GB_GCA_035547815.1	#2ca02c	Present (high-confidence)
GB_GCA_964477125.1	#2ca02c	Present (high-confidence)
GB_GCA_020852295.1	#2ca02c	Present (high-confidence)
GB_GCA_035526505.1	#2ca02c	Present (high-confidence)
GB_GCA_964597925.1	#2ca02c	Present (high-confidence)
GB_GCA_963539995.1	#d62728	Absent
GB_GCA_018062805.1	#2ca02c	Present (high-confidence)
GB_GCA_963540705.1	#2ca02c	Present (high-confidence)
GB_GCA_963456355.1	#d62728	Absent
GB_GCA_016187175.1	#d62728	Absent
GB_GCA_013333625.2	#2ca02c	Present (high-confidence)
GB_GCA_020160975.1	#2ca02c	Present (high-confidence)
GB_GCA_043719125.1	#2ca02c	Present (high-confidence)
GB_GCA_039928925.1	#2ca02c	Present (high-confidence)
GB_GCA_004100265.1	#2ca02c	Present (high-confidence)
GB_GCA_964581485.1	#d62728	Absent
GB_GCA_045649325.1	#d62728	Absent
GB_GCA_039028495.1	#2ca02c	Present (high-confidence)
GB_GCA_049297855.1	#d62728	Absent
GB_GCA_027356105.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_021799595.1	#d62728	Absent
GB_GCA_947367795.1	#d62728	Absent
GB_GCA_900555265.1	#2ca02c	Present (high-confidence)
GB_GCA_946527885.1	#d62728	Absent
GB_GCA_964439405.1	#2ca02c	Present (high-confidence)
GB_GCA_027312225.1	#2ca02c	Present (high-confidence)
GB_GCA_964515845.1	#d62728	Absent
GB_GCA_015257755.1	#d62728	Absent
GB_GCA_040900055.1	#d62728	Absent
GB_GCA_964625325.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_029975625.1	#2ca02c	Present (high-confidence)
GB_GCA_038206875.1	#2ca02c	Present (high-confidence)
GB_GCA_030427365.1	#2ca02c	Present (high-confidence)
GB_GCA_038232415.1	#2ca02c	Present (high-confidence)
GB_GCA_050436805.1	#2ca02c	Present (high-confidence)
GB_GCA_964534095.1	#2ca02c	Present (high-confidence)
GB_GCA_043787015.1	#2ca02c	Present (high-confidence)
GB_GCA_001790575.1	#d62728	Absent
GB_GCA_027365775.1	#d62728	Absent
GB_GCA_964586855.1	#d62728	Absent
GB_GCA_964448095.1	#d62728	Absent
GB_GCA_030528025.1	#2ca02c	Present (high-confidence)
GB_GCA_938040655.1	#2ca02c	Present (high-confidence)
GB_GCA_963524215.1	#d62728	Absent
GB_GCA_964617895.1	#d62728	Absent
GB_GCA_964632215.1	#2ca02c	Present (high-confidence)
GB_GCA_946404545.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_030528625.1	#2ca02c	Present (high-confidence)
GB_GCA_030427445.1	#2ca02c	Present (high-confidence)
GB_GCA_002413835.1	#2ca02c	Present (high-confidence)
GB_GCA_030529095.1	#d62728	Absent
GB_GCA_036509405.1	#d62728	Absent
GB_GCA_937975975.1	#2ca02c	Present (high-confidence)
GB_GCA_947085845.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_015999875.1	#2ca02c	Present (high-confidence)
GB_GCA_937915225.1	#2ca02c	Present (high-confidence)
GB_GCA_002391075.1	#d62728	Absent
GB_GCA_963517385.1	#d62728	Absent
GB_GCA_025928155.1	#2ca02c	Present (high-confidence)
GB_GCA_964475295.1	#ff7f0e	Possible (truncated/partial)
